Address,City,County Name,Healthcare Personnel Influenza Vaccination\x0;,Hospital Name,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Provider Number,State,ZIP Code,% Patients discharged on multiple antipsychotic medications with appropriate justification\x0;,% Post discharge continuing care plan created,% Post discharge continuing care plan transmitted to next level of careprovider upon discharge,Number of Records,Physical-restraint use\x0;ratio (hrs),Post-discharge care,Seclusion ratio (hrs)
695 N KELLOGG ST,GALESBURG,Knox,74,GALESBURG COTTAGE HOSPITAL,Not Available,140040,IL,61401,100,0.9923,0.9923,1,0,Lowest,0
800 E CARPENTER ST,SPRINGFIELD,Sangamon,94,ST JOHNS HOSPITAL,56.25%,140053,IL,62769,,0.2591,0.2308,1,0.89,Lowest,0
3249 SOUTH OAK PARK AVENUE,BERWYN,Cook,97,MACNEAL  HOSPITAL,48.53%,140054,IL,60402,72.41,0.9799,0.9296,1,4.48,Lowest,0.01
12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,Cook,99,PALOS COMMUNITY HOSPITAL,71.05%,140062,IL,60463,100,1,1,1,0.46,Lowest,0
4646 N MARINE DRIVE,CHICAGO,Cook,65,LOUIS A WEISS MEMORIAL HOSPITAL,Not Available,140082,IL,60640,,1,1,1,0,Lowest,0
525 EAST GRANT STREET,MACOMB,McDonough,90,MC DONOUGH DISTRICT HOSPITAL,Not Available,140089,IL,61455,,0.9483,0.9483,1,0,Lowest,0
2875 WEST 19TH STREET,CHICAGO,Cook,98,SAINT ANTHONY HOSPITAL,36.84%,140095,IL,60623,100,1,1,1,1.61,Lowest,0.5
326 W 64TH ST,CHICAGO,Cook,85,ST BERNARD HOSPITAL,22.81%,140103,IL,60621,,0.9874,0.9849,1,2.59,Lowest,0
1100 EAST NORRIS DRIVE,OTTAWA,La Salle,98,OTTAWA REGIONAL HOSPITAL DBA OSF SAINT ELIZABETH MDL CTR,63.96%,140110,IL,61350,100,0.9971,0.9912,1,0.17,Lowest,5.45
5145 N CALIFORNIA AVE,CHICAGO,Cook,93,SWEDISH COVENANT HOSPITAL,62.60%,140114,IL,60625,,0.8972,0.8722,1,0.36,Lowest,0
12935 S GREGORY,BLUE ISLAND,Cook,Not Available,METROSOUTH MEDICAL CENTER,Not Available,140118,IL,60406,,1,0.9934,1,0,Lowest,0
1653 WEST CONGRESS PARKWAY,CHICAGO,Cook,88,RUSH UNIVERSITY MEDICAL CENTER,65.19%,140119,IL,60612,72.22,0.5311,0.5087,1,1.93,Lowest,0.13
120 NORTH OAK ST,HINSDALE,DuPage,100,HINSDALE HOSPITAL,75.38%,140122,IL,60521,,0.9829,0.8672,1,0.03,Lowest,0
2100 MADISON AVENUE,GRANITE CITY,Madison,75,GATEWAY REGIONAL MEDICAL CENTER,41.58%,140125,IL,62040,25,0.9493,0.9387,1,0,Lowest,9.23
2300 NORTH EDWARD STREET,DECATUR,Macon,97,DECATUR MEMORIAL HOSPITAL,Not Available,140135,IL,62526,78.26,,,1,0,Lowest,0
200 HEALTHCARE DIVE,GREENVILLE,Bond,99,GREENVILLE REGIONAL HOSPITAL,70.59%,140137,IL,62246,,1,1,1,0,Lowest,0.03
800 EAST LOCUST,OLNEY,Richland,100,RICHLAND MEMORIAL HOSPITAL,41.25%,140147,IL,62450,75,1,0.9852,1,0.56,Lowest,0.67
701 N. FIRST STREET,SPRINGFIELD,Sangamon,96,"MEMORIAL MEDICAL CENTER, AN AFFILIATE OF MEMORIAL HEALTH SYSTEM",65.46%,140148,IL,62781,,0.5603,0.4917,1,89.95,Lowest,57.58
1740 WEST TAYLOR BUILDING 924-M/C 581,CHICAGO,Cook,86,UNIVERSITY OF ILLINOIS HOSPITAL,54.29%,140150,IL,60612,61.11,0.8539,0.7416,1,1.66,Lowest,0.3
2525 S MICHIGAN AVE,CHICAGO,Cook,82,MERCY HOSPITAL AND MEDICAL CENTER,49.52%,140158,IL,60616,,0.211,0.1941,1,0.61,Lowest,0
1800 E LAKE SHORE DR,DECATUR,Macon,97,ST MARYS HOSPITAL,Not Available,140166,IL,62521,,0.2458,0.2458,1,0,Lowest,0
1325 N HIGHLAND AVENUE,AURORA,Kane,94,PRESENCE MERCY MEDICAL CENTER,58.79%,140174,IL,60506,39.68,0.8225,0.7682,1,0.2,Lowest,0
3701 DOTY ROAD,WOODSTOCK,McHenry,97,CENTEGRA HOSPITAL - WOODSTOCK,61.48%,140176,IL,60098,,0.9965,0.9894,1,0.12,Lowest,0.25
2800 W 95TH ST,EVERGREEN PARK,Cook,97,LITTLE COMPANY OF MARY HOSPITAL,56.07%,140179,IL,60805,,0.9912,0.9737,1,5.02,Lowest,0
8012 SOUTH CRANDON AVENUE,CHICAGO,Cook,91,SOUTH SHORE HOSPITAL,33.33%,140181,IL,60617,,0.8329,0.8329,1,0.11,Lowest,0
836 WEST WELLINGTON AVENUE,CHICAGO,Cook,97,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,61.39%,140182,IL,60657,,0.8473,0.7927,1,0.03,Lowest,0
350 N WALL ST,KANKAKEE,Kankakee,62,RIVERSIDE MEDICAL CENTER,Not Available,140186,IL,60901,,0.0653,0.0603,1,0.24,Lowest,0
1000 HEALTH CENTER DRIVE P O BOX 372 P.O. BOX 372,MATTOON,Coles,96,SARAH BUSH LINCOLN HEALTH CENTER,48.62%,140189,IL,61938,,0.9631,0.9513,1,0.13,Lowest,0
ONE INGALLS DRIVE,HARVEY,Cook,Not Available,INGALLS MEMORIAL HOSPITAL,42.11%,140191,IL,60426,,0.9916,0.9706,1,0,Lowest,0
1044 N FRANCISCO AVE,CHICAGO,Cook,65,NORWEGIAN-AMERICAN HOSPITAL,Not Available,140206,IL,60622,,0.4176,0.3984,1,0,Lowest,0
4440 W 95TH STREET,OAK LAWN,Cook,96,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,59.62%,140208,IL,60453,,0.9429,0.9221,1,2.31,Lowest,0
221 N E GLEN OAK AVE,PEORIA,Peoria,99,METHODIST MEDICAL CENTER OF ILLINOIS,55.80%,140209,IL,61636,,0.8891,0.7234,1,0.28,Lowest,0.45
100 DR WARREN TUTTLE DRIVE,HARRISBURG,Saline,96,HARRISBURG MEDICAL CENTER,80.09%,140210,IL,62946,0,0.9974,0.9949,1,0.21,Lowest,0.11
1900SILVER CROSS BOULEVARD,NEW LENOX,Will,59,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,64.10%,140213,IL,60451,,,,1,0.3,Lowest,0
1775 DEMPSTER ST,PARK RIDGE,Cook,100,ADVOCATE LUTHERAN GENERAL HOSPITAL,67.41%,140223,IL,60068,,1,0.9839,1,1.15,Lowest,0
1401 EAST STATE STREET,ROCKFORD,Winnebago,100,SWEDISH AMERICAN HOSPITAL,56.39%,140228,IL,61104,,0.9615,0.9231,1,0,Lowest,0
2400 NORTH ROCKTON AVENUE,ROCKFORD,Winnebago,83,ROCKFORD MEMORIAL HOSPITAL,59.21%,140239,IL,61103,,0.7614,0.6954,1,0.09,Lowest,0
1225 WEST LAKE STREET,MELROSE PARK,Cook,85,WESTLAKE COMMUNITY HOSPITAL,37.74%,140240,IL,60160,,0.4354,0.2919,1,0.42,Lowest,0
25 NORTH WINFIELD ROAD,WINFIELD,DuPage,98,CENTRAL DUPAGE HOSPITAL,72.60%,140242,IL,60190,,0.9884,0.9855,1,0.17,Lowest,0
800 W CENTRAL ROAD,ARLINGTON HEIGHTS,Cook,78,NORTHWEST COMMUNITY HOSPITAL 1,72.84%,140252,IL,60005,0,0.4067,0.3933,1,0.28,Lowest,0.28
800 W BIESTERFIELD RD,ELK GROVE VILLAGE,Cook,78,ALEXIAN BROTHERS MEDICAL CENTER 1,Not Available,140258,IL,60007,,0.9877,0.9457,1,0.02,Lowest,0
211 E ONTARIO ST SUITE 1550,CHICAGO,Cook,97,NORTHWESTERN MEMORIAL HOSPITAL,66.42%,140281,IL,60611,,0.9316,0.8889,1,0.14,Lowest,0.07
3815 S HIGHLAND AVENUE,DOWNERS GROVE,DuPage,93,ADVOCATE GOOD SAMARITAN HOSPITAL,58.62%,140288,IL,60515,,0.9074,0.7963,1,1.63,Lowest,0
701 WINTHROP AVENUE,GLENDALE HEIGHTS,DuPage,73,ADVENTIST GLENOAKS HOSPITAL,Not Available,140292,IL,60139,,0.9986,0.9945,1,2.21,Lowest,0
4500 COLLEGE AVENUE,ALTON,Madison,29,ALTON MENTAL HEALTH CENTER,Not Available,144016,IL,62002,,0.9245,0.9057,1,1.82,Lowest,0.04
500 REMINGTON BOULEVARD,BOLINGBROOK,Will,Not Available,ADVENTIST BOLINGBROOK HOSPITAL,Not Available,140304,IL,60440,,,,1,,Lowest,
640 W WASHINGTON,PITTSFIELD,Pike,Not Available,ILLINI COMMUNITY HOSPITAL,Not Available,141315,IL,62363,,1,0.8261,1,0.65,Lowest,0
4840 N MARINE DR,CHICAGO,Cook,65,AURORA CHICAGO LAKESHORE HOSPITAL,45.11%,144005,IL,60640,56,0.0281,0.0276,1,0.14,Lowest,0.07
8311 WEST ROOSEVELT ROAD,FOREST PARK,Cook,52,"AERIES HEALTHCARE OF ILLINOIS, INC., DBA RIVEREDGE HOSPITAL",42.04%,144009,IL,60130,100,0.9902,0.9666,1,0.08,Lowest,0
4200 N OAK PARK AVE,CHICAGO,Cook,37,CHICAGO READ MENTAL HEALTH CENTER,Not Available,144010,IL,60634,,1,0.9481,1,0.33,Lowest,0
901 SOUTHWIND RD,SPRINGFIELD,Sangamon,51,ANDREW MCFARLAND MENTAL HLTH CTR,50.00%,144021,IL,62703,,0.852,0.8059,1,0.08,Lowest,0
5730 W ROOSEVELT ROAD,CHICAGO,Cook,58,HARTGROVE HOSPITAL,36.54%,144026,IL,60644,59.09,0.9984,0.8989,1,0.05,Lowest,0.08
1200 S FIRST AVE,HINES,Cook,66,MADDEN MENTAL HEALTH CENTER,Not Available,144028,IL,60141,,0.956,0.956,1,0.51,Lowest,0.05
809 W CHURCH ST,CHAMPAIGN,Champaign,Not Available,THE PAVILION,63.48%,144029,IL,61820,,1,0.9232,1,0.05,Lowest,0.09
1650 MOON LAKE BLVD,HOFFMAN ESTATES,Cook,94,ALEXIAN BROTHERS BEHAVIORAL HLTH HOSP,60.50%,144031,IL,60194,,0.9508,0.7766,1,0.12,Lowest,0.02
1400 E IRVING PARK ROAD,STREAMWOOD,Cook,68,BHC STREAMWOOD HOSPITAL INC,Not Available,144034,IL,60107,,0.9932,0.9855,1,0.06,Lowest,0.08
801 SOUTH WASHINGTON ST,NAPERVILLE,DuPage,96,LINDEN OAKS AT EDWARD,71.26%,144035,IL,60540,,0.9594,0.9179,1,0.08,Lowest,0.01
750 S STATE ST,ELGIN,Kane,46,ELGIN MENTAL HEALTH CENTER,Not Available,144037,IL,60123,,0.9799,0.9664,1,0.13,Lowest,0.01
1000 N MAIN ST,ANNA,Union,68,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,60.87%,144038,IL,62906,,0.9934,0.9868,1,0.13,Lowest,0
520 N RIDGEWAY AVE,CHICAGO,Cook,42,GARFIELD PARK HOSPITAL,Not Available,144039,IL,60624,,0.9981,0.93,1,0.37,Lowest,0.64
555 WILSON LANE,DES PLAINES,Cook,46,CHICAGO BEHAVIORAL HOSPITAL,Not Available,144040,IL,60016,,0.9073,0.8967,1,0.01,Lowest,0.02
600 MARY STREET,EVANSVILLE,Vanderburgh,97,DEACONESS HOSPITAL INC,56.25%,150082,IN,47747,,0.9558,0.8894,1,0.53,Lowest,0.65
600 GRANT ST,GARY,Lake,85,METHODIST HOSPITALS INC,50.00%,150002,IN,46402,,0.9545,0.9545,1,0,Lowest,0.25
5454 HOHMAN AVENUE,HAMMOND,Lake,100,FRANCISCAN ST. MARGARET HEALTH HAMMOND,56.00%,150004,IN,46320,86.67,0.8557,0.8132,1,3.34,Lowest,0.04
1220 MISSOURI AVE,JEFFERSONVILLE,Clark,98,CLARK MEMORIAL HOSPITAL,Not Available,150009,IN,47130,,0.9961,0.6863,1,0.36,Lowest,1.14
301 W HOMER ST,MICHIGAN CITY,LaPorte,99,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,60.53%,150015,IN,46360,,0.8151,0.7925,1,0.72,Lowest,0.48
600 EAST BOULEVARD,ELKHART,Elkhart,99,ELKHART GENERAL HOSPITAL,79.31%,150018,IN,46514,,0.4479,0.3834,1,0.25,Lowest,0.3
11109 PARKVIEW PLAZA DRIVE,FORT WAYNE,Allen,86,PARKVIEW REGIONAL MEDICAL CENTER,58.24%,150021,IN,46845,93.1,0.9695,0.9609,1,0.01,Lowest,0.11
1710 LAFAYETTE RD,CRAWFORDSVILLE,Montgomery,100,FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,Not Available,150022,IN,47933,,0.1812,0.1477,1,0,Lowest,0
720 ESKENAZI AVE,INDIANAPOLIS,Marion,92,ESKENAZI HEALTH,70.75%,150024,IN,46202,,1,0.9727,1,0.12,Lowest,0.07
801 N STATE ST,GREENFIELD,Hancock,92,HANCOCK REGIONAL HOSPITAL,Not Available,150037,IN,46140,100,1,1,1,0,Lowest,0
520 SOUTH 7TH STREET,VINCENNES,Knox,98,GOOD SAMARITAN HOSPITAL,69.75%,150042,IN,47591,,0.9813,0.9579,1,1.8,Lowest,0
3901 S 7TH ST,TERRE HAUTE,Vigo,94,TERRE HAUTE REGIONAL HOSPITAL,68.61%,150046,IN,47802,,0.9963,0.9963,1,0.06,Lowest,0
8555 TAFT ST,MERRILLVILLE,Lake,32,REGIONAL MENTAL HEALTH CENTER,88.61%,154020,IN,46410,61.73,0.9727,0.9727,1,0.61,Lowest,0
700 BROADWAY,FORT WAYNE,Allen,58,ST JOSEPH HOSPITAL,Not Available,150047,IN,46802,,0.9648,0.9258,1,78.07,Lowest,0
1100 REID PKWY,RICHMOND,Wayne,43,REID HOSPITAL & HEALTH CARE SERVICES,60.82%,150048,IN,47374,61.76,0.9975,0.9689,1,0.66,Lowest,0.24
1701 N SENATE BOULEVARD,INDIANAPOLIS,Marion,99,INDIANA UNIVERSITY HEALTH METHODIST HOSPITAL (INDIANAPOLIS),60.24%,150056,IN,46202,,0.6608,0.6231,1,0.76,Lowest,1.31
615 N MICHIGAN ST,SOUTH BEND,St Joseph,100,MEMORIAL HOSPITAL OF SOUTH BEND,67.14%,150058,IN,46601,,0.9681,0.961,1,0.1,Lowest,0.05
1314 E WALNUT ST,WASHINGTON,Daviess,96,DAVIESS COMMUNITY HOSPITAL,50.00%,150061,IN,47501,88.89,0.9904,0.9591,1,0.33,Lowest,0
1941 VIRGINIA AVE,CONNERSVILLE,Fayette,90,FAYETTE REGIONAL HEALTH SYSTEM,60.00%,150064,IN,47331,,0.9592,0.9388,1,0,Lowest,0
2001 WEST 86TH STREET,INDIANAPOLIS,Marion,86,ST. VINCENT HOSPITALS AND HEALTH SERVICES,60.00%,150084,IN,46260,,0.0145,0.0127,1,0.72,Lowest,0.52
3700 WASHINGTON AVENUE,EVANSVILLE,Vanderburgh,97,"ST. MARY'S HEALTH, INC.",68.63%,150100,IN,47750,,0.9889,0.9889,1,0.7,Lowest,0.23
2605 N LEBANON ST,LEBANON,Boone,100,WITHAM HEALTH SERVICES,Not Available,150104,IN,46052,,0.995,0.995,1,0,Lowest,0
800 W. 9TH ST.,JASPER,Dubois,97,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,61.11%,150115,IN,47546,,0.9981,0.9981,1,1.57,Lowest,4.55
7150 CLEARVISTA PARKWAY,INDIANAPOLIS,Marion,100,COMMUNITY HOSPITAL NORTH,71.05%,150169,IN,46256,,0.5359,0.4545,1,0.13,Lowest,0.2
505 WABASH AVE,MARION,Grant,75,"GRANT-BLACKFORD MENTAL HEALTH, INC",69.84%,154021,IN,46952,100,0.9969,0.6338,1,2.76,Lowest,26.88
500 W VOTAW ST,PORTLAND,Jay,79,JAY COUNTY HOSPITAL,Not Available,151320,IN,47371,,0.9797,0.973,1,0,Lowest,0
1116 MILLIS AVENUE PO BOX 629,BOONVILLE,Warrick,91,ST. MARY'S WARRICK HOSPITAL INC,Not Available,151325,IN,47601,,0.8863,0.872,1,0.02,Lowest,0
1100 MERCER PO BOX 151,DECATUR,Adams,87,ADAMS MEMORIAL HOSPITAL,56.25%,151330,IN,46733,,1,1,1,0,Lowest,0
2900 N RIVER RD,WEST LAFAYETTE,Tippecanoe,100,"WABASH VALLEY ALLIANCE, INC. / RIVER BEND HOSPITAL",72.73%,154005,IN,47906,,1,0.8192,1,0.49,Lowest,0.03
2601 COLD SPRING RD,INDIANAPOLIS,Marion,69,LARUE D CARTER MEMORIAL HOSPITAL,Not Available,154008,IN,46222,95.83,1,1,1,0.46,Lowest,0.01
601 WALL ST,VALPARAISO,Porter,57,PORTER-STARKE SERVICES INC,70.69%,154052,IN,46383,57.89,1,0.4783,1,0.18,Lowest,0.19
620 8TH AVE,TERRE HAUTE,Vigo,68,HAMILTON CENTER INC,76.92%,154009,IN,47804,,0.9091,0.9432,1,0.23,Lowest,0
285 BIELBY RD,LAWRENCEBURG,Dearborn,Not Available,"COMMUNITY MENTAL HEALTH CENTER, INCORPORATED",82.72%,154011,IN,47025,,1,1,1,0.17,Lowest,0.36
1535 PROVIDENT DR,WARSAW,Kosciusko,47,OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,75.86%,154014,IN,46580,,0.9405,0.7778,1,0.06,Lowest,0.08
498 NW 18TH ST,RICHMOND,Wayne,63,RICHMOND STATE HOSPITAL,Not Available,154018,IN,47374,,0.8636,0.8636,1,2.15,Lowest,0
711 GREEN RD,MADISON,Jefferson,84,MADISON STATE HOSPITAL,Not Available,154019,IN,47250,,1,1,1,0.16,Lowest,0.08
898 E MAIN ST,GREENWOOD,Johnson,49,"VALLE VISTA HOSPITAL, LLC",59.43%,154024,IN,46143,,0.998,0.9852,1,0.06,Lowest,0.05
330 LAKEVIEW DR,GOSHEN,Elkhart,60,OAKLAWN PSYCHIATRIC CENTER INC,81.82%,154031,IN,46527,100,0.9133,0.9133,1,0.02,Lowest,0.03
1015 MICHIGAN AVE,LOGANSPORT,Cass,60,FOUR COUNTY COUNSELING CENTER,78.26%,154035,IN,46947,24.77,1,0.9344,1,0.04,Lowest,1.99
1800 N OAK RD,PLYMOUTH,Marshall,47,MICHIANA BEHAVIORAL HEALTH CENTER,60.87%,154047,IN,46563,,0.8556,0.7444,1,0.23,Lowest,0.03
1850 WESLEY RD,AUBURN,DeKalb,27,NORTHEASTERN CENTER,77.03%,154050,IN,46706,100,1,0.9639,1,0.12,Lowest,0.16
2700 VISSING PARK RD,JEFFERSONVILLE,Clark,72,WELLSTONE REGIONAL HOSPITAL,55.03%,154051,IN,47130,44.44,0.9559,0.9203,1,0.04,Lowest,0.07
2401 W UNIVERSITY AVE,MUNCIE,Delaware,94,MERIDIAN SERVICES CORP,75.00%,154053,IN,47303,100,0.7328,0.8305,1,0.07,Lowest,0.08
1420 E CROSSING BLVD,TERRE HAUTE,Vigo,88,HARSHA BEHAVIORAL CENTER INC,50.00%,154054,IN,47802,25.37,0.9875,0.9856,1,0.02,Lowest,0
4488 ROSLIN ROAD,NEWBURGH,Warrick,46,BRENTWOOD MEADOWS LLC,70.00%,154055,IN,47630,,0.9921,0.9555,1,0,Lowest,0
3400 LINCOLN AVE,EVANSVILLE,Vanderburgh,77,EVANSVILLE STATE HOSPITAL,Not Available,154056,IN,47714,100,0.9855,0.9855,1,0.07,Lowest,0.02
5602 CAITO DRIVE,INDIANAPOLIS,Marion,39,OPTIONS BEHAVIORAL HEALTH SYSTEM,76.81%,154057,IN,46226,71.43,0.9812,0.957,1,0.08,Lowest,0
417 S. WHITLOCK ST.,BREMEN,Marshall,63,DOCTORS NEUROPSYCHIATRIC HOSPITAL,59.26%,154058,IN,46506,92.78,0.9361,0.9233,1,0,Lowest,0
833 PARK EAST BOULEVARD,LAFAYETTE,Tippecanoe,75,SYCAMORE SPRINGS,63.86%,154059,IN,47905,,0.9771,0.8898,1,0,Lowest,0
909 EAST STATE BOULEVARD,FORT WAYNE,Allen,64,"PARK CENTER, INC",65.00%,154060,IN,46805,89.66,0.9647,0.7276,1,0,Lowest,0
1625 EAST JEFFERSON BLVD,MISHAWAKA,St Joseph,56,"RIVERCREST SPECIALTY HOSPITAL, LLC",Not Available,154061,IN,46545,85,0.9217,0.906,1,0,Lowest,0
2725 ENTERPRISE DRIVE,ANDERSON,Madison,Not Available,ASSURANCE HEALTH PSYCHIATRIC HOSPITAL,Not Available,154062,IN,46013,,0.9677,0.9677,1,0,Lowest,0.02
"6720 PARKDALE PLACE, SUITE 100 ",INDIANAPOLIS,Marion,92,"NEUROPSYCHIATRIC HOSPITAL OF INDIANAPOLIS, LLC",Not Available,154063,IN,46254,,0.9912,0.9646,1,0,Lowest,0
311 SOUTH CLARK STREET P.O. BOX 628,CARROLL,Carroll,100,ST ANTHONY REGIONAL HOSPITAL,88.73%,160005,IA,51401,,0.9783,0.7726,1,0.08,Lowest,0
700 EAST UNIVERSITY AVENUE,DES MOINES,Polk,97,IOWA LUTHERAN HOSPITAL,57.89%,160024,IA,50316,,,,1,1.07,Lowest,0
1111 DUFF AVENUE,AMES,Story,98,MARY GREELEY MEDICAL CENTER,64.06%,160030,IA,50010,,0.9669,0.9532,1,0.11,Lowest,9.24
1227 EAST RUSHOLME STREET,DAVENPORT,Scott,100,GENESIS MEDICAL CENTER-DAVENPORT,70.37%,160033,IA,52803,,0.6498,0.491,1,5.17,Lowest,0.03
515 COLLEGE STREET,CEDAR FALLS,Black Hawk,89,"SARTORI MEMORIAL HOSPITAL, INC",76.19%,160040,IA,50613,78.95,0.9694,0.9626,1,0.47,Lowest,0.09
1026 A AVE NE,CEDAR RAPIDS,Linn,97,ST LUKES HOSPITAL,62.67%,160045,IA,52402,,0.2879,0.2212,1,0.12,Lowest,0.17
200 HAWKINS DRIVE,IOWA CITY,Johnson,83,UNIVERSITY OF IOWA HOSPITAL & CLINICS,77.85%,160058,IA,52242,,0.9299,0.9065,1,1.76,Lowest,10.38
701 10TH STREET SE,CEDAR RAPIDS,Linn,100,MERCY MEDICAL CENTER - CEDAR RAPIDS,62.96%,160079,IA,52403,,0.7468,0.711,1,0.83,Lowest,0
1111 6TH AVE,DES MOINES,Polk,96,MERCY MEDICAL CENTER-DES MOINES,53.10%,160083,IA,50314,,0.9952,0.8658,1,0.15,Lowest,0.29
1001 E PENNSYLVANIA,OTTUMWA,Wapello,100,OTTUMWA REGIONAL HEALTH CENTER,62.50%,160089,IA,52501,,0.9747,0.9177,1,0.03,Lowest,0
1200 1ST AVENUE EAST,SPENCER,Clay,99,SPENCER MUNICIPAL HOSPITAL,69.05%,160112,IA,51301,,0.933,0.9433,1,0.65,Lowest,1.25
350 NORTH GRANDVIEW AVENUE,DUBUQUE,Dubuque,99,FINLEY HOSPITAL,58.33%,160117,IA,52001,,1,0.9865,1,0.05,Lowest,0.18
801 5TH ST PO BOX 316B,SIOUX CITY,Woodbury,100,MERCY MEDICAL CENTER-SIOUX CITY,62.79%,160153,IA,51101,72.73,0.9836,0.9493,1,0.13,Lowest,0.44
1525 WEST 5TH STREET,STORM LAKE,Buena Vista,100,BUENA VISTA REGIONAL MEDICAL CENTER,Not Available,161375,IA,50588,,,,1,0,Lowest,0
1501 EAST TENTH STREET,ATLANTIC,Cass,100,CASS COUNTY MEMORIAL HOSPITAL,68.75%,161376,IA,50022,,1,0.9952,1,0.22,Lowest,0
1229 C AVENUE EAST,OSKALOOSA,Mahaska,100,MAHASKA  HEALTH PARTNERSHIP,68.75%,161379,IA,52577,,0.8991,0.6697,1,0,Lowest,0
1251 NORTH CEDAR LOOP,CHEROKEE,Cherokee,82,MENTAL HEALTH INSTITUTE,67.50%,164002,IA,51012,91.18,0.9979,0.9808,1,0.71,Lowest,0.11
2277 IOWA AVENUE,INDEPENDENCE,Buchanan,80,MENTAL HEALTH INSTITUTE,66.67%,164003,IA,50644,81.82,1,1,1,1.58,Lowest,0.02
3500 SOUTH 4TH STREET,LEAVENWORTH,Leavenworth,98,SAINT JOHN HOSPITAL,Not Available,170009,KS,66048,,1,0.9957,1,0,Lowest,0.13
400 SOUTH SANTA FE AVENUE,SALINA,Saline,85,SALINA REGIONAL HEALTH CENTER,82.95%,170012,KS,67401,63.64,1,0.999,1,0,Lowest,0.29
1701 E 23RD AVENUE,HUTCHINSON,Reno,71,HUTCHINSON REGIONAL MEDICAL CENTER INC,63.64%,170020,KS,67502,,0.7778,0.7496,1,0.13,Lowest,0.46
401 EAST SPRUCE,GARDEN CITY,Finney,100,ST CATHERINE HOSPITAL,87.88%,170023,KS,67846,,0.9978,0.9978,1,,Lowest,
1323 NORTH A ST,WELLINGTON,Sumner,58,SUMNER REGIONAL MEDICAL CENTER,Not Available,170039,KS,67152,0,0.4603,0.1958,1,0,Lowest,0.04
3901 RAINBOW BLVD,KANSAS CITY,Wyandotte,95,UNIVERSITY OF KANSAS HOSPITAL,66.22%,170040,KS,66103,,0.9078,0.7427,1,1.32,Lowest,0.38
1500 SW 10TH AVENUE,TOPEKA,Shawnee,100,STORMONT VAIL HOSPITAL,40.91%,170086,KS,66604,,0.9911,0.9889,1,0.23,Lowest,0
600 MEDICAL CENTER DRIVE,NEWTON,Harvey,94,NEWTON MEDICAL CENTER,Not Available,170103,KS,67114,,0.9626,0.9893,1,0.31,Lowest,0
9100 W 74TH ST,SHAWNEE MISSION,Johnson,86,SHAWNEE MISSION MEDICAL CENTER,73.51%,170104,KS,66204,,0.7898,0.7136,1,0.37,Lowest,0
929 NORTH ST FRANCIS STREET,WICHITA,Sedgwick,99,VIA CHRISTI HOSPITAL-WICHITA,50.00%,170122,KS,67214,,0.1157,0.0597,1,0,Lowest,0
620 WEST EIGHTH STREET,KINSLEY,Edwards,97,EDWARDS COUNTY HOSPITAL,Not Available,171317,KS,67547,,0.9698,0.9648,1,0,Lowest,0
1527 MADISON,FREDONIA,Wilson,100,FREDONIA REGIONAL HOSPITAL,70.37%,171374,KS,66736,70.59,,,1,0,Lowest,0
5000 KY ROUTE 321 PO BOX 668,PRESTONSBURG,Floyd,Not Available,HIGHLANDS REGIONAL MEDICAL CENTER,50.00%,180005,KY,41653,,1,0.995,1,0.02,Lowest,0
PO BOX 399,BELOIT,Mitchell,62,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS,Not Available,171375,KS,67420,,,,1,,Lowest,
302 N HOSPITAL DR,GIRARD,Crawford,100,GIRARD MEDICAL CENTER,79.17%,171376,KS,66743,100,0.982,0.8964,1,0,Lowest,0
511 NE 10TH PO BOX 69,ABILENE,Not Available,89,MEMORIAL HOSPITAL,Not Available,171381,KS,67410,0,1,1,1,0.23,Lowest,0
1301 KS HIGHWAY 264,LARNED,Pawnee,40,LARNED STATE HOSPITAL,54.84%,174006,KS,67550,,0,0,1,0.17,Lowest,0.18
1901 E FIRST STREET PO BOX 467,NEWTON,Harvey,67,PRAIRIE VIEW INC,77.97%,174016,KS,67114,55.56,0.998,0.9881,1,0.01,Lowest,0.05
913 NORTH DIXIE AVENUE,ELIZABETHTOWN,Hardin,72,HARDIN MEMORIAL HOSPITAL,57.97%,180012,KY,42701,,0.9222,0.1833,1,0.61,Lowest,0.54
250 PARK STREET PO BOX 90010,BOWLING GREEN,Warren,85,THE MEDICAL CENTER (BOWLING GREEN),67.50%,180013,KY,42101,,0.7982,0.7696,1,0.13,Lowest,0
222 MEDICAL CIRCLE,MOREHEAD,Rowan,91,ST CLAIRE REGIONAL MEDICAL CENTER,69.44%,180018,KY,40351,0,0.9495,0.9495,1,0,Lowest,0.02
850 RIVERVIEW AVENUE,PINEVILLE,Bell,98,PINEVILLE COMMUNITY HOSPITAL,Not Available,180021,KY,40977,,0.0731,1,1,0,Lowest,0
